               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.041587,            0.027602,                   0,              0.5071,             0.76623,             0.56164,              0.1676,            0.033944,           0.0051829,                   0,           0.0017963,           0.0017963,            0.083296
                  62,             0.04431,            0.029901,                   0,               0.655,             0.74026,             0.69562,             0.27115,            0.028402,           0.0054534,                   0,           0.0018237,           0.0018237,            0.083024
                  63,            0.034374,             0.03538,                   0,             0.49499,             0.79221,             0.60297,             0.28491,            0.026463,            0.004829,                   0,           0.0018509,           0.0018509,            0.082751
                  64,            0.040255,            0.030743,                   0,             0.53878,             0.80519,             0.69194,             0.27515,             0.03027,           0.0048344,                   0,           0.0018781,           0.0018781,            0.082478
                  65,            0.034168,            0.025352,                   0,             0.95587,             0.84387,              0.9217,             0.39217,            0.024955,           0.0048081,                   0,           0.0019052,           0.0019052,            0.082205
                  66,            0.037207,            0.032378,                   0,             0.95432,             0.81818,             0.92756,              0.4545,            0.028666,           0.0049837,                   0,           0.0019322,           0.0019322,            0.081932
                  67,             0.03633,            0.026853,                   0,             0.94107,             0.83117,             0.93258,             0.44084,            0.024505,           0.0051495,                   0,           0.0019591,           0.0019591,            0.081659
                  68,            0.033408,            0.024522,                   0,              0.6361,             0.81725,             0.75302,             0.33464,            0.024423,           0.0049368,                   0,           0.0019859,           0.0019859,            0.081386
                  69,            0.041965,            0.041617,                   0,             0.47254,              0.8961,             0.61703,             0.15362,            0.032855,           0.0047633,                   0,           0.0020127,           0.0020127,            0.081113
                  70,            0.043741,            0.029689,                   0,              0.7931,             0.89607,             0.85382,             0.36584,            0.024174,           0.0051352,                   0,           0.0020393,           0.0020393,            0.080839
                  71,            0.032888,            0.027534,                   0,             0.81705,                0.87,             0.88552,             0.38651,            0.023813,           0.0050957,                   0,           0.0020658,           0.0020658,            0.080566
                  72,            0.041125,            0.026701,                   0,             0.86652,             0.84416,              0.8718,             0.37989,            0.027644,           0.0052353,                   0,           0.0020923,           0.0020923,            0.080292
                  73,            0.038247,            0.032875,                   0,             0.89329,             0.86972,             0.92041,             0.43478,            0.026126,           0.0048748,                   0,           0.0021186,           0.0021186,            0.080019
                  74,            0.037825,            0.031289,                   0,             0.48476,             0.83086,             0.62878,              0.2483,            0.032444,           0.0050387,                   0,           0.0021449,           0.0021449,            0.079745
                  75,            0.038579,            0.032226,                   0,             0.65178,             0.85714,             0.78778,             0.39914,            0.026242,           0.0049826,                   0,            0.002171,            0.002171,            0.079471
                  76,            0.032057,            0.027933,                   0,             0.66609,             0.83117,             0.71669,             0.30143,            0.029005,           0.0051053,                   0,           0.0021971,           0.0021971,            0.079197
                  77,            0.036893,            0.030185,                   0,             0.58652,             0.85714,             0.68904,             0.29531,            0.025831,           0.0051356,                   0,            0.002223,            0.002223,            0.078923
                  78,            0.037716,            0.029982,                   0,             0.66025,             0.90858,             0.78975,             0.32744,            0.028701,           0.0048297,                   0,           0.0022489,           0.0022489,            0.078649
                  79,            0.033948,            0.030487,                   0,             0.83543,             0.85706,             0.86464,             0.39341,            0.027255,            0.005417,                   0,           0.0022746,           0.0022746,            0.078375
                  80,            0.032487,            0.025413,                   0,             0.74138,             0.85631,             0.79543,             0.35484,            0.025652,           0.0050446,                   0,           0.0023003,           0.0023003,              0.0781
                  81,            0.040295,            0.027881,                   0,             0.91546,             0.84383,             0.92899,             0.49066,            0.019172,           0.0047469,                   0,           0.0023258,           0.0023258,            0.077826
                  82,            0.029554,            0.026006,                   0,             0.82922,             0.88283,             0.87624,             0.51618,            0.017405,           0.0048821,                   0,           0.0023512,           0.0023512,            0.077551
                  83,            0.040826,             0.03178,                   0,             0.81012,             0.83115,             0.84614,             0.48736,            0.020758,           0.0049132,                   0,           0.0023765,           0.0023765,            0.077277
                  84,            0.037199,              0.0275,                   0,             0.95522,             0.83109,             0.94161,             0.50714,            0.023087,           0.0048724,                   0,           0.0024017,           0.0024017,            0.077002
                  85,            0.035203,            0.029578,                   0,             0.58413,             0.76623,             0.72406,             0.40567,            0.023581,           0.0046826,                   0,           0.0024268,           0.0024268,            0.076727
                  86,            0.036619,            0.035359,                   0,             0.86658,             0.84351,             0.88831,             0.55157,            0.025684,           0.0049563,                   0,           0.0024518,           0.0024518,            0.076452
                  87,            0.035187,            0.025411,                   0,             0.77303,             0.93506,             0.89309,             0.42195,             0.02821,           0.0048972,                   0,           0.0024767,           0.0024767,            0.076177
                  88,            0.033483,            0.028873,                   0,             0.69293,             0.90851,             0.83005,             0.31366,            0.027477,           0.0046353,                   0,           0.0025015,           0.0025015,            0.075901
                  89,             0.03671,             0.03463,                   0,             0.79515,               0.857,             0.88857,             0.52147,              0.0245,           0.0046638,                   0,           0.0025261,           0.0025261,            0.075626
                  90,            0.037096,            0.026654,                   0,             0.92306,             0.93489,             0.96009,             0.51198,            0.023254,           0.0048325,                   0,           0.0025506,           0.0025506,            0.075351
                  91,            0.033174,            0.025663,                   0,             0.86697,             0.93506,             0.90384,             0.35603,            0.032339,           0.0046859,                   0,            0.002575,            0.002575,            0.075075
                  92,            0.036134,            0.025451,                   0,             0.75797,              0.8961,             0.85202,             0.43686,             0.02986,           0.0046266,                   0,           0.0025993,           0.0025993,            0.074799
                  93,            0.033048,            0.027549,                   0,             0.93069,             0.90909,             0.96752,              0.4503,            0.025873,           0.0047176,                   0,           0.0026235,           0.0026235,            0.074524
                  94,            0.030928,             0.02895,                   0,             0.93505,             0.93487,             0.95626,             0.49488,            0.025973,           0.0045768,                   0,           0.0026476,           0.0026476,            0.074248
                  95,            0.029405,            0.029224,                   0,             0.89986,             0.93506,             0.95786,             0.53026,            0.022206,           0.0047741,                   0,           0.0026715,           0.0026715,            0.073971
                  96,            0.027867,            0.023459,                   0,             0.92403,             0.94781,             0.96626,             0.51026,            0.024262,           0.0047076,                   0,           0.0026953,           0.0026953,            0.073695
                  97,            0.033334,            0.024827,                   0,              0.7761,             0.94805,              0.8673,             0.50543,            0.023097,           0.0044647,                   0,            0.002719,            0.002719,            0.073419
                  98,            0.026905,            0.022132,                   0,              0.7604,             0.94795,             0.85219,             0.48888,            0.020823,           0.0045351,                   0,           0.0027425,           0.0027425,            0.073143
                  99,            0.027214,            0.023631,                   0,             0.79301,             0.94805,             0.89272,             0.47301,            0.025974,           0.0045076,                   0,            0.002766,            0.002766,            0.072866
                 100,            0.035534,            0.031243,                   0,             0.86888,             0.94669,             0.95297,             0.52822,            0.024543,           0.0049347,                   0,           0.0027893,           0.0027893,            0.072589
                 101,            0.030705,            0.023516,                   0,             0.90116,             0.83117,             0.93428,             0.57024,            0.023535,           0.0046555,                   0,           0.0028125,           0.0028125,            0.072312
                 102,            0.030171,            0.022434,                   0,             0.84794,             0.86902,             0.91208,             0.48999,            0.022636,           0.0046975,                   0,           0.0028355,           0.0028355,            0.072036
                 103,            0.027157,            0.025616,                   0,             0.84268,             0.97388,             0.94865,              0.4879,            0.022166,           0.0046816,                   0,           0.0028585,           0.0028585,            0.071758
                 104,            0.031607,             0.02709,                   0,             0.97178,              0.8961,             0.95385,             0.47153,            0.024674,           0.0054509,                   0,           0.0028813,           0.0028813,            0.071481
                 105,            0.027257,            0.024023,                   0,             0.51129,             0.86959,             0.68632,             0.34566,             0.02966,            0.005271,                   0,           0.0029039,           0.0029039,            0.071204
                 106,            0.030202,            0.027177,                   0,             0.81808,             0.93506,             0.91422,             0.50573,            0.021851,           0.0043396,                   0,           0.0029264,           0.0029264,            0.070926
                 107,            0.033103,            0.025265,                   0,             0.65361,             0.88312,             0.73624,             0.36887,            0.022453,           0.0050469,                   0,           0.0029488,           0.0029488,            0.070649
