               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,             0.04273,            0.039549,                   0,             0.82252,              0.9158,              0.9216,             0.31444,            0.042966,           0.0080937,                   0,           0.0023251,           0.0023251,            0.078425
                  60,             0.04005,            0.041211,                   0,             0.84909,             0.77844,             0.86929,             0.50996,            0.031236,            0.009478,                   0,           0.0023617,           0.0023617,            0.078062
                  61,            0.039934,            0.039078,                   0,             0.84765,             0.77246,             0.88215,             0.52644,            0.035119,           0.0081315,                   0,           0.0023983,           0.0023983,            0.077698
                  62,            0.040766,            0.041798,                   0,             0.76808,             0.75449,             0.83934,              0.5155,            0.033122,           0.0082107,                   0,           0.0024348,           0.0024348,            0.077335
                  63,             0.04141,            0.040643,                   0,              0.7801,              0.8503,             0.86062,             0.31499,            0.039998,             0.00871,                   0,           0.0024711,           0.0024711,            0.076971
                  64,            0.040248,            0.040899,                   0,             0.80868,             0.88585,             0.89496,             0.33485,            0.041165,            0.008122,                   0,           0.0025074,           0.0025074,            0.076607
                  65,            0.038978,             0.04349,                   0,             0.74236,             0.87995,             0.87467,             0.28422,            0.042331,           0.0082893,                   0,           0.0025435,           0.0025435,            0.076243
                  66,            0.043165,            0.044825,                   0,             0.76609,             0.92216,             0.86148,             0.36188,            0.041079,           0.0083378,                   0,           0.0025795,           0.0025795,            0.075879
                  67,            0.041431,            0.038873,                   0,             0.84391,             0.87413,              0.8814,             0.47837,            0.033421,           0.0082259,                   0,           0.0026154,           0.0026154,            0.075515
                  68,            0.041126,            0.034413,                   0,             0.83231,              0.8322,             0.88461,             0.39101,            0.042925,           0.0084097,                   0,           0.0026511,           0.0026511,            0.075151
                  69,            0.039228,            0.044157,                   0,             0.86201,             0.89775,             0.92147,             0.45209,            0.032885,            0.008347,                   0,           0.0026868,           0.0026868,            0.074787
                  70,            0.038337,            0.040568,                   0,             0.82926,             0.81433,             0.85614,             0.42708,            0.032975,           0.0099042,                   0,           0.0027223,           0.0027223,            0.074422
                  71,            0.037472,            0.038108,                   0,             0.86666,             0.93413,             0.92169,             0.39261,            0.037577,           0.0079852,                   0,           0.0027576,           0.0027576,            0.074058
                  72,            0.040519,            0.041775,                   0,             0.87351,             0.90971,             0.92413,             0.55477,            0.033746,           0.0081635,                   0,           0.0027929,           0.0027929,            0.073693
                  73,             0.03776,            0.035354,                   0,             0.89089,             0.88008,             0.93318,             0.46262,            0.041299,            0.008178,                   0,            0.002828,            0.002828,            0.073328
